N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,1.1,7,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,8,530.12,728.45,183.064,617.502,296.101,267.503,82.8097,414.739,0.0195018,
15,1,1.1,9,509.443,56.9835,492.406,174.717,159.012,236.466,293.568,547.844,0.0154403,
15,1,1.1,10,509.443,56.9835,492.406,174.717,159.012,236.466,293.568,547.844,0.0154403,
,,,,,,,,,,,,,=STDEV.S(M234:M243),
,,,,,,,,,,,,,,
15,6,6.6,1,7064.84,5088.27,3766.19,451.093,4231.21,3990.46,3573.82,3970.26,0.200851,
15,6,6.6,2,7064.84,5088.27,3766.19,451.093,4231.21,3990.46,3573.82,3970.26,0.200851,
15,6,6.6,3,7064.84,5088.27,3766.19,451.093,4231.21,3990.46,3573.82,3970.26,0.200851,
15,6,6.6,4,7064.84,5088.27,3766.19,451.093,4231.21,3990.46,3573.82,3970.26,0.200851,
15,6,6.6,5,5832.08,7009.02,3205.95,1956.98,6405.57,3543.79,3574.32,5129.63,0.229108,
15,6,6.6,6,5832.08,7009.02,3205.95,1956.98,6405.57,3543.79,3574.32,5129.63,0.229108,
15,6,6.6,7,5832.08,7009.02,3205.95,1956.98,6405.57,3543.79,3574.32,5129.63,0.229108,
15,6,6.6,8,5832.08,7009.02,3205.95,1956.98,6405.57,3543.79,3574.32,5129.63,0.229108,
15,6,6.6,9,5832.08,7009.02,3205.95,1956.98,6405.57,3543.79,3574.32,5129.63,0.229108,
15,6,6.6,10,5448.12,4166.15,4215.26,6000.98,4301.24,-694.638,2327.04,-1719.68,0.150278,
,,,,,,,,,,,,,=STDEV.S(M246:M255),
,,,,,,,,,,,,,,
15,11,12.1,1,7127.32,10014,9531.33,6346.41,11061.8,6916.15,10533.2,2835.82,0.402288,
15,11,12.1,2,7127.32,10014,9531.33,6346.41,11061.8,6916.15,10533.2,2835.82,0.402288,
15,11,12.1,3,7127.32,10014,9531.33,6346.41,11061.8,6916.15,10533.2,2835.82,0.402288,
15,11,12.1,4,7634.02,-2481.24,12183.6,5947.96,13733.9,5575.17,9954.59,20347.7,0.455598,
15,11,12.1,5,7634.02,-2481.24,12183.6,5947.96,13733.9,5575.17,9954.59,20347.7,0.455598,
15,11,12.1,6,7634.02,-2481.24,12183.6,5947.96,13733.9,5575.17,9954.59,20347.7,0.455598,
15,11,12.1,7,707.454,7566.55,13107.2,4909.97,-5267.8,-483.913,15472,1677.9,0.235558,
15,11,12.1,8,707.454,7566.55,13107.2,4909.97,-5267.8,-483.913,15472,1677.9,0.235558,
15,11,12.1,9,707.454,7566.55,13107.2,4909.97,-5267.8,-483.913,15472,1677.9,0.235558,
